Date;Open;High;Low;Close;Adj Close;Volume;
31/01/2019;2.674.000;2.676.000;2.626.000;2.635.000;2.635.000;0;
1/02/2019;2.631.000;2.697.000;2.631.000;2.691.000;2.691.000;0;
4/02/2019;2.697.000;2.734.000;2.695.000;2.724.000;2.724.000;0;
5/02/2019;2.729.000;2.729.000;2.688.000;2.702.000;2.702.000;0;
6/02/2019;2.691.000;2.704.000;2.673.000;2.702.000;2.702.000;0;
7/02/2019;2.666.000;2.675.000;2.652.000;2.652.000;2.652.000;0;
8/02/2019;2.639.000;2.652.000;2.625.000;2.632.000;2.632.000;0;
11/02/2019;2.652.000;2.670.000;2.648.000;2.661.000;2.661.000;0;
12/02/2019;2.682.000;2.691.000;2.668.000;2.684.000;2.684.000;0;
13/02/2019;2.688.000;2.715.000;2.688.000;2.708.000;2.708.000;0;
14/02/2019;2.686.000;2.686.000;2.643.000;2.657.000;2.657.000;0;
15/02/2019;2.668.000;2.688.000;2.663.000;2.666.000;2.666.000;0;
19/02/2019;2.670.000;2.670.000;2.636.000;2.647.000;2.647.000;0;
20/02/2019;2.634.000;2.659.000;2.632.000;2.654.000;2.654.000;0;
21/02/2019;2.675.000;2.697.000;2.672.000;2.688.000;2.688.000;0;
22/02/2019;2.679.000;2.679.000;2.638.000;2.655.000;2.655.000;0;
25/02/2019;2.681.000;2.684.000;2.668.000;2.673.000;2.673.000;0;
26/02/2019;2.655.000;2.657.000;2.632.000;2.636.000;2.636.000;0;
27/02/2019;2.632.000;2.697.000;2.632.000;2.693.000;2.693.000;0;
28/02/2019;2.670.000;2.724.000;2.668.000;2.711.000;2.711.000;0;
1/03/2019;2.737.000;2.759.000;2.728.000;2.755.000;2.755.000;0;
4/03/2019;2.750.000;2.753.000;2.721.000;2.722.000;2.722.000;0;
5/03/2019;2.742.000;2.750.000;2.722.000;2.722.000;2.722.000;0;
6/03/2019;2.711.000;2.719.000;2.679.000;2.692.000;2.692.000;0;
7/03/2019;2.679.000;2.681.000;2.636.000;2.636.000;2.636.000;0;
8/03/2019;2.634.000;2.652.000;2.607.000;2.625.000;2.625.000;0;
11/03/2019;2.645.000;2.652.000;2.632.000;2.643.000;2.643.000;0;
12/03/2019;2.654.000;2.656.000;2.600.000;2.605.000;2.605.000;0;
13/03/2019;2.621.000;2.629.000;2.611.000;2.611.000;2.611.000;0;
14/03/2019;2.627.000;2.645.000;2.611.000;2.630.000;2.630.000;0;
15/03/2019;2.623.000;2.623.000;2.580.000;2.593.000;2.593.000;0;
18/03/2019;2.603.000;2.611.000;2.589.000;2.602.000;2.602.000;0;
19/03/2019;2.611.000;2.634.000;2.600.000;2.614.000;2.614.000;0;
20/03/2019;2.600.000;2.600.000;2.528.000;2.535.000;2.535.000;0;
21/03/2019;2.500.000;2.544.000;2.500.000;2.537.000;2.537.000;0;
22/03/2019;2.471.000;2.482.000;2.418.000;2.455.000;2.455.000;0;
25/03/2019;2.460.000;2.464.000;2.377.000;2.420.000;2.420.000;0;
26/03/2019;2.448.000;2.448.000;2.407.000;2.414.000;2.414.000;0;
27/03/2019;2.379.000;2.405.000;2.356.000;2.374.000;2.374.000;0;
28/03/2019;2.375.000;2.405.000;2.366.000;2.389.000;2.389.000;0;
29/03/2019;2.421.000;2.433.000;2.403.000;2.414.000;2.414.000;0;
1/04/2019;2.442.000;2.499.000;2.424.000;2.497.000;2.497.000;0;
2/04/2019;2.474.000;2.492.000;2.469.000;2.481.000;2.481.000;0;
3/04/2019;2.515.000;2.524.000;2.503.000;2.517.000;2.517.000;0;
4/04/2019;2.508.000;2.522.000;2.503.000;2.512.000;2.512.000;0;
5/04/2019;2.537.000;2.544.000;2.494.000;2.501.000;2.501.000;0;
8/04/2019;2.504.000;2.519.000;2.501.000;2.519.000;2.519.000;0;
9/04/2019;2.517.000;2.517.000;2.485.000;2.499.000;2.499.000;0;
10/04/2019;2.502.000;2.510.000;2.463.000;2.477.000;2.477.000;0;
11/04/2019;2.485.000;2.510.000;2.485.000;2.504.000;2.504.000;0;
12/04/2019;2.542.000;2.562.000;2.540.000;2.560.000;2.560.000;0;
15/04/2019;2.567.000;2.574.000;2.549.000;2.553.000;2.553.000;0;
16/04/2019;2.574.000;2.596.000;2.571.000;2.592.000;2.592.000;0;
17/04/2019;2.599.000;2.614.000;2.581.000;2.592.000;2.592.000;0;
18/04/2019;2.563.000;2.583.000;2.549.000;2.560.000;2.560.000;0;
22/04/2019;2.565.000;2.592.000;2.565.000;2.590.000;2.590.000;0;
23/04/2019;2.592.000;2.592.000;2.563.000;2.570.000;2.570.000;0;
24/04/2019;2.536.000;2.538.000;2.518.000;2.522.000;2.522.000;0;
25/04/2019;2.524.000;2.542.000;2.516.000;2.534.000;2.534.000;0;
26/04/2019;2.527.000;2.545.000;2.495.000;2.505.000;2.505.000;0;
29/04/2019;2.505.000;2.541.000;2.504.000;2.536.000;2.536.000;0;
30/04/2019;2.532.000;2.550.000;2.504.000;2.509.000;2.509.000;0;
1/05/2019;2.504.000;2.511.000;2.455.000;2.511.000;2.511.000;0;
2/05/2019;2.511.000;2.558.000;2.509.000;2.552.000;2.552.000;0;
3/05/2019;2.563.000;2.576.000;2.516.000;2.531.000;2.531.000;0;
6/05/2019;2.491.000;2.502.000;2.480.000;2.500.000;2.500.000;0;
7/05/2019;2.478.000;2.482.000;2.446.000;2.448.000;2.448.000;0;
8/05/2019;2.439.000;2.487.000;2.430.000;2.482.000;2.482.000;0;
9/05/2019;2.444.000;2.471.000;2.425.000;2.457.000;2.457.000;0;
10/05/2019;2.446.000;2.460.000;2.426.000;2.455.000;2.455.000;0;
13/05/2019;2.423.000;2.426.000;2.389.000;2.405.000;2.405.000;0;
14/05/2019;2.414.000;2.428.000;2.402.000;2.419.000;2.419.000;0;
15/05/2019;2.370.000;2.391.000;2.361.000;2.379.000;2.379.000;0;
16/05/2019;2.382.000;2.414.000;2.380.000;2.405.000;2.405.000;0;
17/05/2019;2.370.000;2.409.000;2.364.000;2.393.000;2.393.000;0;
20/05/2019;2.386.000;2.418.000;2.380.000;2.416.000;2.416.000;0;
21/05/2019;2.428.000;2.441.000;2.419.000;2.426.000;2.426.000;0;
22/05/2019;2.412.000;2.414.000;2.386.000;2.393.000;2.393.000;0;
23/05/2019;2.361.000;2.364.000;2.294.000;2.296.000;2.296.000;0;
24/05/2019;2.315.000;2.334.000;2.308.000;2.324.000;2.324.000;0;
28/05/2019;2.299.000;2.299.000;2.264.000;2.268.000;2.268.000;0;
29/05/2019;2.231.000;2.247.000;2.210.000;2.236.000;2.236.000;0;
30/05/2019;2.261.000;2.276.000;2.226.000;2.227.000;2.227.000;0;
